pid,nameAttested,nameLanguage,nameTransliterated
523978,['unknown'],['unknown'],['Elaia']
523979,['unknown'],['unknown'],['Hierion']
523980,['unknown'],['unknown'],['Kanopos']
523981,['unknown'],['unknown'],['Hipposthenis Monu.']
523983,['unknown'],['unknown'],['Metopon']
523984,['unknown'],['unknown'],['Ostreodes']
523985,['unknown'],['unknown'],['Palinormikon Pr.']
526237,['unknown'],['unknown'],['Anthemiou']
526239,['unknown'],['unknown'],['Philios']
526241,['unknown'],['unknown'],['Satyros']
526242,['unknown'],['unknown'],['Sigides']
530767,['unknown'],['unknown'],['Acarnania']
530769,['Ἀχέρων'],['grc'],['Achérōn']
530770,['unknown'],['unknown'],['Acherusia L.']
530772,['unknown'],['unknown'],['Actium Pr.']
530788,['unknown'],['unknown'],['Ainos M.']
530789,['unknown'],['unknown'],['Aithikia']
530790,['unknown'],['unknown'],['Akropolis Passaron']
530795,['unknown'],['unknown'],['Ambracius Sinus']
530796,['unknown'],['unknown'],['Ambracus']
530797,['unknown'],['unknown'],['Amphilochia']
530799,['unknown'],['unknown'],['Anapos']
530804,['unknown'],['unknown'],['Aphas']
530806,['unknown'],['unknown'],"['T.', 'Apollo Leukatas']"
530808,['Ἀργεία'],['grc'],['Argeia']
530809,['unknown'],['unknown'],['Argos Amphilochikon']
530810,['unknown'],['unknown'],['Arktanes']
530814,['unknown'],['unknown'],['Assos']
530815,['unknown'],['unknown'],['Astakos']
530816,['unknown'],['unknown'],['Asteria']
530819,['unknown'],['unknown'],['Berenike']
530826,['Κεφαλληνία'],['grc'],['Cephallania']
530827,['unknown'],['unknown'],['Chalkis']
530828,['unknown'],['unknown'],['Charadra']
530831,['unknown'],['unknown'],['Chaunoi']
530845,['unknown'],['unknown'],['Dolicha']
530848,['unknown'],['unknown'],['Drymos']
530849,['unknown'],['unknown'],['Dryopis']
530853,['unknown'],['unknown'],['Echinos']
530854,['unknown'],['unknown'],['Elaias Limen']
530856,['unknown'],['unknown'],['Elaiatis']
530857,['unknown'],['unknown'],['Elaos']
530858,['unknown'],['unknown'],['Elatus M.']
530860,['unknown'],['unknown'],['Elea']
530862,['unknown'],['unknown'],['Elina']
530871,['unknown'],['unknown'],['Epirus']
530873,['unknown'],['unknown'],['Euripos']
530874,['unknown'],['unknown'],['Euroia']
530875,['unknown'],['unknown'],['Eurymenai']
530887,['unknown'],['unknown'],['Helikranon']
530888,['unknown'],['unknown'],['Hellomenon']
530889,['unknown'],['unknown'],['Herakleia']
530890,['unknown'],['unknown'],['Herakleia']
530892,['unknown'],['unknown'],['Hieros Limen Herakleous']
530895,['unknown'],['unknown'],['Idomene Maior']
530896,['unknown'],['unknown'],['Idomene Minor']
530898,['unknown'],['unknown'],['Ilion']
530902,['unknown'],['unknown'],['Ioustinianoupolis']
530903,['unknown'],['unknown'],['Istone M.']
530904,['unknown'],['unknown'],['Istone M.']
530905,['unknown'],['unknown'],['Ithaca']
530906,['Ἰθάκη'],['grc'],['Ithaca']
530907,['unknown'],['unknown'],['Ithoria']
530917,['unknown'],['unknown'],['Karnos']
530920,['unknown'],['unknown'],['Kassiope']
530922,['unknown'],['unknown'],['Kassope']
530923,['unknown'],['unknown'],['Kassopia']
530938,['unknown'],['unknown'],['Kelaithoi']
530941,['unknown'],['unknown'],['Kestria']
530948,['unknown'],['unknown'],['Kiraios Sinus']
530949,['unknown'],['unknown'],['Kitios M.']
530961,['unknown'],['unknown'],['Koronta']
530963,['unknown'],['unknown'],['Kraneia']
530965,['unknown'],['unknown'],['Krenai']
530966,['unknown'],['unknown'],['Krithote Pr.']
530968,['unknown'],['unknown'],['Kyathos']
530970,['unknown'],['unknown'],['Kynos Kephale Pr.']
530972,['unknown'],['unknown'],['Lakmon M.']
530977,['unknown'],['unknown'],['Leukimma Pr.']
530980,['unknown'],['unknown'],['Limnaia']
530986,['unknown'],['unknown'],['Lysimacheia']
530989,['unknown'],['unknown'],['Maiandria']
530998,['unknown'],['unknown'],['Medion']
531000,['unknown'],['unknown'],['Metropolis']
531001,['unknown'],['unknown'],['Metropolis']
531003,['unknown'],['unknown'],['Molossis']
531007,['unknown'],['unknown'],['Myrtountion L.']
531009,['unknown'],['unknown'],['Nasos']
531011,['unknown'],['unknown'],['Nekromanteion']
531016,['unknown'],['unknown'],['Oiniadai']
531017,['unknown'],['unknown'],['Olpai']
531018,['unknown'],['unknown'],['Omphales']
531020,['unknown'],['unknown'],['Onopernoi']
531024,['unknown'],['unknown'],['Oropos']
531028,['unknown'],['unknown'],['Paianion']
531034,['unknown'],['unknown'],['Palairos']
531038,['unknown'],['unknown'],['Pambotis L.']
531039,['Πανδοσία'],['grc'],['Pandosia']
531040,['unknown'],['unknown'],['Pandosia L.']
531041,['unknown'],['unknown'],['Panormos']
531042,['unknown'],['unknown'],['Passaron']
531043,['unknown'],['unknown'],['Paracheloitis']
